Image,Faces Detected,Landmarks Detected,Detection Time (s),Success
Kenneth_Evans_0002.jpg,1,1,0.02083611488342285,True
Jim_Paxson_0001.jpg,1,1,0.0207977294921875,True
Andrew_Bunner_0001.jpg,2,2,0.032929182052612305,True
Christine_Baumgartner_0001.jpg,1,1,0.022330522537231445,True
Junichiro_Koizumi_0022.jpg,1,1,0.01758098602294922,True
Carlos_Ruiz_0002.jpg,1,1,0.01903057098388672,True
Arnold_Schwarzenegger_0042.jpg,1,1,0.015321731567382812,True
Mohammed_Al-Douri_0011.jpg,1,1,0.01587986946105957,True
Peter_Arnett_0003.jpg,1,1,0.02330636978149414,True
Luis_Guzman_0001.jpg,1,1,0.018237590789794922,True
Jeanette_Gray_0001.jpg,1,1,0.017412185668945312,True
Lou_Reed_0001.jpg,1,1,0.020306825637817383,True
George_W_Bush_0009.jpg,1,1,0.014764547348022461,True
Ludivine_Sagnier_0001.jpg,1,1,0.018467426300048828,True
Sally_Clark_0001.jpg,1,1,0.03536725044250488,True
Pierce_Brosnan_0005.jpg,1,1,0.01575303077697754,True
Magdalena_Maleeva_0002.jpg,1,1,0.01733565330505371,True
Grace_Kelly_0001.jpg,1,1,0.027782201766967773,True
Felicity_Huffman_0001.jpg,1,1,0.025792598724365234,True
Scott_McClellan_0003.jpg,1,1,0.02472710609436035,True
Bill_Clinton_0024.jpg,1,1,0.018758058547973633,True
Ranil_Wickremasinghe_0002.jpg,1,1,0.023818492889404297,True
Ramon_Delgado_0001.jpg,1,1,0.0320124626159668,True
Vladimir_Putin_0022.jpg,1,1,0.0355074405670166,True
Guillermo_Coria_0025.jpg,1,1,0.018932580947875977,True
Venus_Williams_0002.jpg,1,1,0.020581722259521484,True
Robert_Kocharian_0005.jpg,1,1,0.020035743713378906,True
Esteban_Cordoba-Velazquez_0001.jpg,2,2,0.037763118743896484,True
GL_Peiris_0002.jpg,1,1,0.02092719078063965,True
Jeffrey_Scott_Postell_0002.jpg,1,1,0.019942522048950195,True
Megawati_Sukarnoputri_0011.jpg,1,1,0.019718408584594727,True
Tang_Jiaxuan_0006.jpg,1,1,0.01984715461730957,True
Jose_Carlo_Fernandez_0001.jpg,1,1,0.02394247055053711,True
Gary_Leon_Ridgway_0001.jpg,1,1,0.02135324478149414,True
Rohinton_Mistry_0001.jpg,1,1,0.021414756774902344,True
Michael_Chiklis_0001.jpg,1,1,0.024141788482666016,True
Paulo_Cesar_Pinheiro_0002.jpg,1,1,0.03482460975646973,True
Nathalie_Gagnon_0001.jpg,1,1,0.021640300750732422,True
Roger_Lyons_0001.jpg,3,3,0.052657365798950195,True
George_W_Bush_0008.jpg,1,1,0.02808213233947754,True
Alan_Greenspan_0003.jpg,1,1,0.022103309631347656,True
Mark_Andrew_0001.jpg,1,1,0.022930383682250977,True
Alistair_MacDonald_0001.jpg,2,2,0.04254508018493652,True
Taha_Yassin_Ramadan_0006.jpg,3,3,0.0622715950012207,True
Laura_Linney_0001.jpg,1,1,0.0255582332611084,True
Hugh_Grant_0008.jpg,2,2,0.033843278884887695,True
Francisco_Flores_0003.jpg,1,1,0.01680922508239746,True
Claudia_Pechstein_0001.jpg,1,1,0.018099546432495117,True
Elizabeth_Hurley_0004.jpg,1,1,0.016483068466186523,True
Britney_Spears_0007.jpg,1,1,0.01866602897644043,True
Andy_Perez_0001.jpg,1,1,0.025095701217651367,True
George_W_Bush_0378.jpg,1,1,0.02013397216796875,True
Andres_Pastrana_0001.jpg,1,1,0.016193389892578125,True
Abdullah_Gul_0009.jpg,2,2,0.03989744186401367,True
Jennifer_Garner_0001.jpg,1,1,0.01998281478881836,True
Howard_Dean_0007.jpg,1,1,0.022103071212768555,True
Georgina_Papin_0001.jpg,1,1,0.026265621185302734,True
Tony_Blair_0013.jpg,1,1,0.01696610450744629,True
Jennifer_Furminger_0001.jpg,1,1,0.014490365982055664,True
Kim_Gandy_0001.jpg,1,1,0.04078841209411621,True
Lew_Rywin_0001.jpg,2,2,0.029166698455810547,True
Rick_Husband_0001.jpg,1,1,0.015364885330200195,True
Rudolph_Giuliani_0011.jpg,1,1,0.02039790153503418,True
Alexander_Losyukov_0001.jpg,1,1,0.02149510383605957,True
Jacques_Rogge_0008.jpg,1,1,0.015511274337768555,True
Kofi_Annan_0021.jpg,1,1,0.016560077667236328,True
Lleyton_Hewitt_0027.jpg,1,1,0.0167844295501709,True
George_W_Bush_0159.jpg,1,1,0.01778578758239746,True
Marty_Mornhinweg_0002.jpg,1,1,0.01574230194091797,True
Bob_Huggins_0004.jpg,1,1,0.017407894134521484,True
Gary_Forsee_0001.jpg,1,1,0.014191627502441406,True
Aline_Chretien_0001.jpg,1,1,0.016202449798583984,True
Dale_Earnhardt_Jr_0004.jpg,1,1,0.01497030258178711,True
David_Brown_0001.jpg,1,1,0.017872095108032227,True
Mahmoud_Abbas_0004.jpg,1,1,0.015100240707397461,True
Trent_Lott_0007.jpg,1,1,0.01607489585876465,True
Alejandro_Toledo_0030.jpg,1,1,0.014824390411376953,True
Jacques_Chirac_0045.jpg,1,1,0.016177654266357422,True
Hermes_Gamonal_0001.jpg,1,1,0.018829822540283203,True
